Code|Artist|Total Views|100M|Avg
1332|Konshens|439.7|1|0.06
1333|Ofenbach|439.2|2|0.079
1334|Whitesnake|438|2|0.089
1335|Eve|437.8|1|0.16
1336|Simple Minds|434.8|1|0.163
1337|Rob Zombie|433.3|1|0.133
1338|Lalo Ebratt|431.7|1|0.061
1339|Paloma Faith|430.3|1|0.368
1340|GÅliz Ayla|428.1|2|0.049
1341|Francesco Gabbani|427.9|1|0.034
1342|Yinglee Srijumpol|427.3|1|0.036
1343|Banda Vingadora|426.1|1|0.047
1344|Chung Ha|424.7|0|0.049
1345|December Avenue|424|2|0.133
1346|Jojo Maronttinni|423|1|0.032
1347|Aaliyah|422.4|0|0.027
1348|Skylar Grey|421.7|1|0.057
1349|K-Ci & JoJo|420.4|1|0.114
1350|Jay Rock|419.6|1|0.048
1351|Tyrese|418.8|1|0.137
1352|Maejor Ali|418.3|1|0.031
1353|Anastacia|417.9|0|0.131
1354|Elettra Lamborghini|417.1|1|0.052
1355|Onze:20|416.1|0|0.043
1356|Janet Jackson|416|0|0.208
1357|Rei|414.9|1|0.877
1358|Lil' Kleine|413.2|0|0.028
1359|Veysel|412.2|0|0.058
1360|Toygar I??kl?|411.2|1|0.11
1361|Route 94|410.2|1|0.113
1362|Sheck Wes|409.6|1|0.098
1363|3OH!3|409.4|1|0.034
1364|P-HOT|408.5|1|0.047
1365|Aastha Gill|404.9|1|0.133
1366|Counting Crows|401.9|1|0.126
1367|Max Pezzali|400.7|0|0.115
1368|Bella Thorne|400.4|1|0.015
1369|Cher|400|1|0.399
1370|Eypio|399.1|1|0.061
1371|Metro Boomin|398.6|0|1.004
1372|Tokio Hotel|398.4|0|0.046
1373|Vanessa Carlton|397.9|1|0.093
1374|Eva Simons|396.7|1|0.043
1375|?obuzy|396.5|2|0.113
1376|Mario Bautista|395.8|1|0.083
1377|Village People|395.6|1|0.069
1378|Example|394.5|1|0.044
1379|Thegiornalisti|394.3|1|0.073
1380|Massive Attack|394|0|0.077
1381|Tom Petty|393.4|1|0.118
1382|Sarah Connor|391.6|0|0.079
1383|Emeli SandÇ|391.6|0|0.041
1384|Grebz|390.1|1|0.039
1385|Lamyai Haithongkham|390|1|0.015
1386|Infinite|388.1|0|0.038
1387|The Band Perry|387.9|1|0.053
1388|MC Tati Zaqui|387.8|0|0.019
1389|Shivam Pathak|385.5|1|0.099
1390|Lifehouse|384.7|1|0.059
1391|Azealia Banks|383.3|1|0.033
1392|VIXX|382.6|0|0.03
1393|Normani|382|2|0.137
1394|Lupe Fiasco|381.8|1|0.035
1395|Nargiz|381.2|1|0.051
1396|Natalie Imbruglia|380.2|1|0.11
1397|Jazmine Sullivan|378.7|0|0.166
1398|Thepparit Imsudsumran|377.4|1|0.031
1399|Nek|373.9|1|0.097
1400|Vitaa|373.6|1|0.067
1401|Kavinsky|371|1|0.076
1402|American Authors|369.2|1|0.047
1403|Dosseh|367.9|0|0.042
1404|James Morrison|367.5|1|0.035
1405|Namika|367.4|1|0.047
1406|La Ley|367|1|0.084
1407|Gesu no Kiwami Otome|366.1|0|0.03
1408|Kelsea Ballerini|365.9|0|0.09
1409|Tom and Angela|365.1|1|0.006
1410|K.Will|364.5|1|0.093
1411|Giorgia|363.7|0|0.046
1412|Woodkid|363.1|1|0.081
1413|Beck|361.9|1|0.079
1414|Bomfunk MC's|361.5|1|0.12
1415|Enigma|360.2|1|0.11
1416|Gnarls Barkley|358.1|2|0.236
1417|Alice Cooper|358|1|0.081
1418|Guru Josh|357.7|1|0.101
1419|Matt Hunter|357.7|1|0.019
1420|Alice Merton|357.1|1|0.08
1421|Cassie|356.8|1|0.105
1422|Seeed|356.5|0|0.055
1423|Bad Meets Evil|353.9|2|0.064
